Time,Temperature(c),Humidity(%),Air Quality(μg/m3)
03-23-2023_13:57:38,16.9,67.6,80.54621112704857
03-23-2023_13:57:48,16.9,67.6,98.6305130161443
03-23-2023_13:57:59,16.9,67.7,107.87454512161628
03-23-2023_13:58:09,16.9,67.8,125.17257301553393
03-23-2023_13:58:22,16.9,67.8,126.1926041444136
03-23-2023_13:58:33,16.9,67.8,127.23388592181158
03-23-2023_13:58:43,16.9,67.8,127.44639240699486
03-23-2023_13:58:57,16.9,67.8,90.32150944547868
03-23-2023_13:59:07,16.9,67.9,113.54846827600942
03-23-2023_13:59:18,16.9,67.9,121.09244850001527
03-23-2023_13:59:28,16.9,68.0,127.04263008514666
03-23-2023_13:59:39,16.9,68.1,126.57511581774345
03-23-2023_13:59:49,16.9,68.1,89.15272377697073
03-23-2023_14:00:00,16.9,68.1,127.42514175847653
03-23-2023_14:00:10,16.9,68.1,126.5113638721885
03-23-2023_14:00:21,16.8,68.1,125.08757042146063
03-23-2023_14:00:31,16.9,68.2,118.52112002929778
03-23-2023_14:00:42,16.9,68.2,126.40511062959686
03-23-2023_14:00:53,16.8,68.1,121.00744590594195
03-23-2023_14:01:03,16.9,68.2,84.71133823664053
03-23-2023_14:01:14,16.8,68.2,116.50230842005676
03-23-2023_14:01:24,16.8,68.2,84.62633564256721
03-23-2023_14:01:35,16.9,68.3,127.51014435254983
03-23-2023_14:01:45,16.9,68.4,81.4599890133366
03-23-2023_14:01:56,16.8,68.3,91.7878041932432
03-23-2023_14:02:06,16.8,68.3,127.34013916440321
03-23-2023_14:02:17,16.8,68.4,99.39553636280404
03-23-2023_14:02:27,16.8,68.3,80.248702047792
03-23-2023_14:02:38,16.8,68.5,88.32394848475602
03-23-2023_14:02:49,16.8,68.5,112.4221839045381
03-23-2023_14:02:59,16.8,68.7,127.29763786736656
03-23-2023_14:03:12,16.8,68.6,127.6588988921781
03-23-2023_14:03:23,16.8,68.7,118.24486159855952
03-23-2023_14:03:36,16.8,68.7,96.97296243171485
03-23-2023_14:03:46,16.8,68.7,81.9487539292581
03-23-2023_14:03:57,16.8,68.6,80.29120334482865
03-23-2023_14:04:07,16.8,68.6,85.43386028626362
03-23-2023_14:04:18,16.8,68.7,126.72387035737175
03-23-2023_14:04:29,16.8,68.8,81.20498123111668
03-23-2023_14:04:39,16.8,68.9,127.6588988921781
03-23-2023_14:04:52,16.8,68.9,82.84128116702782
03-23-2023_14:05:03,16.8,68.9,80.0149449140904
03-23-2023_14:05:13,16.8,68.8,127.91390667439802
03-23-2023_14:05:26,16.8,68.8,114.69600329599905
03-23-2023_14:05:37,16.8,68.6,80.35495529038363
03-23-2023_14:05:47,16.8,68.5,82.39501754814296
03-23-2023_14:05:58,16.8,68.3,124.1737925351726
03-23-2023_14:06:09,16.8,68.3,127.19138462477493
03-23-2023_14:06:19,16.8,68.3,81.52374095889157
03-23-2023_14:06:30,16.7,68.2,97.2704715109714
03-23-2023_14:06:40,16.7,68.3,127.53139500106816
03-23-2023_14:06:51,16.7,68.3,82.05500717184974
03-23-2023_14:07:01,16.8,68.3,83.54255256813258
03-23-2023_14:07:12,16.7,68.2,126.5326145207068
03-23-2023_14:07:22,16.7,68.3,119.88116153447065
03-23-2023_14:07:33,16.7,68.3,82.90503311258279
03-23-2023_14:07:44,16.7,68.3,80.43995788445693
03-23-2023_14:07:54,16.7,68.3,99.18302987762078
03-23-2023_14:08:05,16.7,68.3,127.6376482436598
03-23-2023_14:08:15,16.7,68.4,127.23388592181158
03-23-2023_14:08:31,16.7,68.4,95.54916898098698
03-23-2023_14:08:41,16.7,68.4,127.0851313821833
